Recency,Frequency,Monetary
3530,8,35.4
3436,12,62.5
3409,25,224.1
3525,5,70.9
3546,2,33.9
3772,8,23.6
3556,11,61.1
3611,6,90.3
3566,10,97.3
3542,14,153.4
3525,10,33.2
3458,2,7.2
3561,7,37.58
3669,11,92.9
3457,4,52.5
3548,28,217.85
3417,11,101.1
3660,15,104.75
3470,6,43.0
3688,6,41.0
3389,15,86.6
3412,15,164.7
3530,6,54.8
3956,6,47.46
3649,7,44.2
3693,8,36.3
3681,12,99.87
3509,13,97.4
3632,6,85.9
3869,7,44.15
3598,4,56.1
3457,23,174.64
3539,8,106.52
3387,2,11.8
3637,8,86.51
3763,9,80.1
3823,2,7.8
3593,4,13.6
3820,4,17.8
3606,10,68.4
3619,18,159.5
3683,6,45.2
3380,12,102.2
3532,22,245.05
3538,7,31.9
3533,6,37.06
3430,26,184.45
3691,4,70.32
3422,12,86.27
3759,7,63.8
3598,2,3.4
3745,4,10.8
3508,14,137.7
3481,10,70.1
3771,7,38.7
3645,15,165.5
3400,11,82.35
3523,11,50.12
3465,19,152.4
3821,6,49.46
3460,6,79.3
3475,10,44.32
3553,10,74.04
3412,16,92.4
3724,13,107.14
3704,5,31.1
3391,16,203.6
3431,9,48.3
3526,11,96.1
3842,4,50.6
3775,8,49.5
3628,15,175.55
3682,2,13.49
3515,4,20.05
3410,17,188.94
3517,2,10.9
3402,12,102.6
3499,13,88.1
3460,11,93.4
3379,20,163.32
3985,6,25.8
3862,8,63.26
3951,3,30.0
3664,4,39.1
3466,9,54.45
3422,15,106.1
3715,6,54.56
3413,15,191.04
3782,4,34.8
3447,11,110.7
3665,2,20.4
3418,18,168.74
3733,12,139.4
3506,7,46.9
3543,4,32.66
3567,10,163.7
3387,8,77.3
3840,4,19.7
3384,6,35.1
3588,5,21.8
3429,17,190.96
3407,22,209.8
3510,5,73.0
3460,15,105.24
3867,2,9.5
3945,2,29.7
3874,4,16.8
3480,16,112.6
3467,10,93.9
3532,12,84.8
3391,10,106.93
3504,13,111.84
3418,17,172.9
3699,8,71.2
3607,14,95.29
3417,13,114.44
3587,4,23.8
3416,20,115.28
3564,19,169.22
3462,8,143.6
3549,4,51.9
3394,17,115.9
3801,7,34.9
3410,8,96.8
3568,13,60.7
3465,4,45.5
3378,11,108.4
3713,11,98.0
3468,15,113.7
3470,16,175.74
3733,9,62.5
3991,2,16.8
3459,9,123.42
3441,8,56.1
3429,10,48.5
3662,16,127.52
3513,10,122.6
3438,7,49.3
3513,9,94.5
