Recency,Frequency,Monetary
3821,6,41.32
3601,8,49.3
3719,17,134.45
3515,15,125.25
3427,3,59.1
3416,15,160.1
3392,19,158.9
3447,19,197.0
3397,17,145.44
3928,4,31.86
3479,14,103.1
3865,6,33.35
3716,8,60.7
3783,4,19.3
3480,8,43.4
3504,5,22.6
3448,7,75.04
3744,7,38.35
3591,18,149.25
3507,17,75.45
3566,2,9.0
3958,4,27.2
3606,8,72.0
3600,16,126.85
3405,16,163.9
3749,7,43.56
3394,8,53.55
3837,4,25.2
3468,11,65.7
3459,9,65.5
3512,4,61.8
3420,30,239.96
3886,7,39.0
3438,8,42.2
3771,2,18.0
3402,19,178.54
3696,7,77.24
3472,7,30.5
3476,24,254.8
3411,16,102.2
3630,5,36.9
3482,6,67.2
3488,10,78.0
3846,4,12.9
3824,5,83.4
3426,8,61.1
3630,1,2.4
3682,12,96.1
3651,7,43.6
3407,12,86.55
3966,7,43.9
3564,18,135.1
3427,7,100.6
3430,13,152.7
3410,9,85.2
3416,16,193.71
3853,4,32.12
3382,13,116.69
3401,12,77.15
3413,18,141.7
3560,5,45.76
3392,10,105.1
3601,6,57.2
3453,7,26.9
3400,16,172.97
3853,4,86.2
3621,8,71.9
3768,6,33.4
3448,27,208.82
3479,8,62.9
3639,4,84.66
3394,16,110.55
3575,5,38.29
3772,2,4.2
3475,11,62.1
3623,6,47.1
3534,8,56.3
3412,12,121.8
3398,8,36.1
3861,6,41.7
3484,6,17.0
3431,14,129.9
3385,6,33.6
3410,11,99.05
3757,6,57.39
3519,8,70.1
3620,6,72.0
3407,11,49.2
3519,8,82.7
3731,3,7.5
3462,12,60.4
3753,4,27.0
3485,16,140.6
3416,13,100.1
3622,15,85.4
3434,17,185.5
3434,10,104.3
3460,10,125.6
3436,11,101.4
3414,19,161.76
3557,8,74.3
3497,11,76.0
3919,4,78.7
3718,8,61.8
3410,10,60.55
3423,9,114.88
3879,11,104.69
3595,9,69.3
3478,9,73.0
3420,6,39.8
3422,6,72.94
3466,23,260.9
3451,17,123.56
3694,6,79.5
3510,11,46.45
3455,4,19.5
3486,14,107.2
3473,13,67.54
3512,10,159.3
3668,2,36.7
3555,15,117.4
3476,16,192.1
4105,2,8.4
3579,20,170.72
3592,14,98.0
3930,2,14.9
3520,6,41.3
3790,4,22.1
3435,10,157.5
3622,6,81.2
4080,4,33.4
3773,8,69.92
3393,10,108.4
3410,5,50.4
3475,18,236.3
3428,11,107.11
3641,4,18.0
3650,10,68.9
3539,6,29.3
3653,3,29.14
3590,2,7.4
3382,21,262.2
3747,6,37.73
3429,21,220.0
3480,4,37.2
3559,4,53.8
3471,12,61.5
3459,9,49.85
3520,17,312.46
3603,8,69.5
3623,15,144.6
3593,15,167.15
3500,12,131.3
4015,2,20.4
3569,7,65.1
3485,8,62.95
3708,11,96.37
3459,2,24.7
3491,8,48.2
3620,10,82.1
3605,15,160.3
3415,10,97.9
3392,10,127.8
3419,20,212.9
3534,2,8.0
3522,23,135.4
3627,15,99.18
3390,9,82.35
3698,10,53.54
3380,13,92.75
3408,12,156.25
3511,7,75.2
3715,5,23.1
3741,7,52.1
3530,12,132.63
3546,5,37.5
3504,7,133.7
3404,16,237.2
3957,2,14.5
3441,7,27.96
3432,10,83.3
3973,4,25.14
3590,10,86.2
3927,9,37.59
3381,21,218.15
3458,6,66.2
3590,13,88.5
3582,9,70.7
3652,2,7.8
3425,13,133.95
3451,10,132.96
3658,7,71.3
3567,16,155.6
3496,9,36.6
3590,23,209.6
3378,8,80.5
3782,2,38.1
3445,15,92.9
3470,18,236.4
3616,12,74.0
3452,12,69.0
3487,5,50.7
3508,8,29.2
3489,21,161.7
3467,13,78.15
3824,8,22.35
3758,8,59.2
3808,11,96.62
3724,9,71.6
3500,11,77.85
4011,10,98.5
3558,11,63.2
3617,6,14.8
3642,6,69.35
3378,17,171.4
3688,20,305.72
3765,3,33.8
3422,15,106.6
3448,17,152.42
3489,8,101.8
3458,24,116.3
3386,10,98.8
3416,5,42.2
3779,2,24.2
3390,4,23.48
3817,5,63.3
3401,9,64.2
3379,10,129.9
3860,2,13.4
3438,8,49.22
4075,2,26.8
3389,10,71.9
3569,11,71.2
3736,9,52.2
3436,11,86.65
3516,4,52.3
3382,10,177.32
3460,19,148.52
3379,12,143.12
3480,11,56.45
3428,7,49.8
3438,8,180.3
3523,15,117.9
3388,2,9.0
3532,4,67.8
3394,9,55.3
3601,2,18.8
3468,4,31.9
3476,6,58.36
3415,13,167.0
3423,4,21.4
3414,11,133.35
3656,9,121.6
3483,29,277.4
3583,2,19.5
3786,5,26.9
3703,11,144.02
3430,23,215.0
3509,4,32.4
3634,15,177.8
3871,3,36.8
3700,4,46.9
3388,14,127.48
3406,12,70.55
3522,6,28.98
3919,7,113.0
3527,10,76.04
3434,8,86.8
4001,2,25.0
3385,15,98.22
3404,21,163.9
3398,14,117.1
3444,13,228.6
3388,8,77.25
3480,8,82.69
3496,16,105.0
3490,16,88.1
3437,7,57.4
3439,12,77.32
3642,6,75.5
3799,4,11.5
3380,13,100.7
3435,8,66.5
3955,4,28.65
3566,11,69.75
3457,10,85.7
3380,8,84.45
3419,14,116.0
3761,4,41.4
3725,4,31.1
3388,9,35.9
3722,2,11.1
3626,6,51.86
3559,5,54.15
3783,5,38.0
3396,11,101.1
3669,2,16.0
3516,3,36.3
3715,6,96.6
3903,7,19.7
3414,11,59.6
3641,12,72.72
3886,8,96.15
3514,7,76.7
3522,12,54.4
3482,9,60.3
3447,6,85.8
3553,11,94.35
3754,17,124.05
3668,8,53.2
3614,11,105.7
3404,15,95.8
3547,4,10.85
3714,11,61.79
3557,4,40.03
3408,9,67.1
3799,4,85.8
3578,13,90.39
3960,6,65.7
3397,21,252.6
3561,4,32.5
3458,11,60.3
3776,9,70.4
3382,6,46.7
3801,5,67.6
3419,11,63.16
3397,16,111.8
3430,7,34.15
3708,10,60.36
3477,9,164.0
3812,4,68.7
3660,14,82.5
3921,3,27.7
3663,17,88.5
3646,8,56.8
3486,9,58.5
3733,10,62.7
3583,4,55.2
3530,17,102.16
3566,7,88.8
3527,8,55.8
3431,11,74.2
3466,12,45.3
3710,12,79.35
3571,8,54.23
3710,13,130.9
3542,5,60.8
3434,18,162.74
3545,7,93.1
3572,10,80.24
3955,5,40.26
3459,15,125.34
3386,7,37.65
3413,15,149.36
3738,3,14.6
3586,7,29.5
3585,15,69.4
3406,11,60.8
3411,19,153.56
3577,10,76.4
3389,25,239.24
3422,20,153.36
3626,9,43.45
3960,4,13.2
3519,12,140.2
3949,6,59.45
3777,6,31.7
3705,6,38.65
3452,2,12.64
3400,8,73.7
3378,7,33.6
3715,7,91.62
3601,10,87.9
3760,12,81.6
3382,9,77.7
3445,13,89.4
3589,5,28.21
3422,12,71.5
3413,19,133.3
3521,10,76.85
3625,7,70.96
3405,9,43.8
3566,12,95.9
3488,4,66.0
3687,11,49.4
3593,6,21.5
3603,17,95.1
4001,2,20.6
3455,2,10.2
3712,11,81.1
3518,24,303.61
3695,12,111.78
3429,3,15.6
3617,15,296.96
3914,6,58.7
3693,5,35.59
3473,14,187.8
3378,16,144.87
3547,5,18.6
3527,8,76.3
3873,2,15.4
3384,4,25.2
3517,17,141.6
3979,6,46.04
3701,4,30.35
3549,11,99.1
3381,7,59.3
3771,4,10.7
3917,5,27.3
3516,14,78.1
3516,11,65.44
3569,11,45.7
3479,6,27.9
3509,13,82.3
3427,17,256.0
3459,10,79.3
3407,7,40.0
3471,6,70.8
3564,6,28.8
3389,5,31.4
3503,8,61.3
3712,10,58.3
3423,9,96.4
3533,9,68.8
3750,5,54.2
3450,11,131.0
3718,14,51.25
3484,9,74.9
3582,15,178.2
3591,6,89.36
3759,10,101.4
3390,15,187.8
3586,4,24.55
3839,8,75.0
3600,10,73.5
3409,13,74.9
3481,16,80.44
3688,5,21.1
3731,12,76.3
3410,10,40.95
3823,4,54.4
3484,14,123.49
3381,22,123.1
3737,2,41.4
3470,19,120.62
3657,11,143.15
3420,23,163.8
3492,5,28.3
3398,19,234.0
3706,4,82.9
3393,32,221.55
3409,13,100.2
3557,5,22.05
3383,9,82.2
3563,18,123.6
3512,5,56.2
3515,4,33.4
3910,5,35.1
3534,8,72.4
3760,9,86.54
3556,7,45.4
3403,8,42.35
3529,11,98.82
3380,10,78.2
3740,4,16.4
3745,7,46.95
3402,12,72.0
3411,10,118.08
3572,7,54.1
3643,5,29.0
3578,15,143.85
3583,16,140.15
3725,5,30.0
3639,5,40.14
3454,6,40.2
3400,4,45.7
3499,17,148.01
3498,5,27.3
3673,8,84.3
4061,2,7.85
3841,15,128.03
3474,26,156.15
3845,10,92.95
3443,14,84.5
3550,4,36.2
3648,12,61.74
3746,6,18.4
3405,8,62.8
3452,11,94.5
3434,22,145.22
3384,6,39.0
3670,2,7.32
3463,17,105.45
3456,16,114.0
3508,7,48.3
3520,2,12.4
3495,4,11.4
3543,12,97.6
3599,12,95.1
3391,14,144.1
3404,7,123.86
3763,4,13.8
3587,18,92.15
4005,2,14.2
3976,8,75.54
3422,14,101.7
4023,4,13.85
3562,9,92.4
3903,6,58.4
3385,16,113.7
3603,8,48.2
3573,12,114.1
3805,16,185.54
3763,14,141.4
3469,12,95.5
3379,7,41.0
3563,17,196.8
3385,24,243.5
3438,24,117.42
3758,9,65.1
3643,3,5.7
3829,4,45.8
3771,2,8.5
3770,10,74.8
3500,17,129.8
3900,6,69.65
3620,6,17.5
3770,4,33.2
3501,10,75.4
3383,8,107.8
3584,2,9.4
3535,6,34.22
3989,2,7.9
3506,18,103.7
3633,13,89.9
3631,16,113.66
3503,12,100.13
3422,17,117.4
3863,11,42.8
3598,6,37.9
3514,13,132.52
3422,8,61.4
3929,4,21.8
3384,5,30.75
3655,11,153.16
4082,3,79.5
3884,6,38.59
3474,6,45.45
3414,4,31.5
3461,16,96.2
3569,11,84.12
3842,2,20.0
3528,6,51.0
3826,7,59.52
3830,9,80.4
3711,7,45.44
3616,10,118.26
3430,9,83.7
3585,2,2.6
3744,4,12.1
3469,21,203.76
3411,18,177.1
3624,14,131.8
3434,7,85.7
3392,12,67.0
3559,6,43.2
3405,12,137.4
3817,3,81.8
3682,7,31.0
3536,2,14.6
3702,4,11.8
3415,14,146.2
3529,13,100.1
3816,4,28.6
3400,12,47.1
3662,2,10.5
3450,36,251.45
3395,14,131.7
3454,14,162.9
3523,7,66.1
3418,14,85.2
3681,11,89.9
3413,10,132.8
3402,6,30.59
3415,17,117.04
3417,12,107.46
3378,5,44.09
3711,13,90.6
3619,14,145.8
3553,6,46.7
3434,5,30.44
4047,3,19.8
3568,5,51.0
3384,2,33.9
3651,8,116.9
3411,17,212.4
3424,7,56.4
3523,12,111.2
3614,11,113.62
3397,13,92.6
3456,12,115.91
3412,15,147.2
3418,12,69.4
3380,11,49.4
3385,8,75.9
3469,4,33.0
3634,4,45.9
3754,7,70.79
3386,15,104.8
3540,10,96.64
3699,4,12.0
3663,6,43.6
3945,5,36.1
3526,7,60.54
3431,12,60.7
3562,22,220.9
3525,10,68.22
3889,3,75.6
3669,10,112.76
3396,18,211.7
3809,8,104.2
3408,15,78.66
3716,8,97.8
3523,12,100.8
3728,2,19.6
3652,5,26.0
3390,16,128.45
3808,2,39.5
3514,2,17.1
3380,7,50.6
3557,10,79.2
3563,13,76.5
3923,8,24.0
3411,2,5.9
3741,4,11.4
3479,9,77.6
3599,8,33.1
4105,2,8.9
3418,6,27.9
3400,18,271.8
3503,22,221.4
3437,24,165.9
3572,21,205.44
3751,4,52.35
3640,5,42.1
3382,21,248.12
3508,12,60.0
3571,4,51.9
3450,10,73.92
3433,17,71.1
3531,9,65.3
3698,11,57.25
3602,13,130.34
3497,9,49.92
3406,8,80.2
3400,16,96.4
3909,7,47.3
3647,10,49.35
3399,7,55.5
3444,22,143.55
3724,9,50.2
3432,16,132.27
3462,5,26.1
3607,2,6.9
3381,6,71.4
3570,4,16.65
3473,9,81.4
3443,8,109.0
3561,15,151.8
3803,7,68.6
3774,4,38.2
3777,7,55.69
3548,6,77.8
3444,6,103.7
3569,11,86.83
3559,9,46.4
3419,16,130.2
3549,7,69.3
3385,4,21.6
3709,13,150.45
3626,6,25.4
3382,29,334.15
3593,2,10.9
3528,4,39.9
3486,6,136.2
3613,7,25.3
3558,13,127.05
3533,10,85.63
3513,14,119.5
3601,12,124.7
3596,10,122.7
3683,11,166.1
3463,11,117.95
3627,2,7.1
3600,6,47.7
3717,8,44.4
3408,10,80.3
3567,6,37.34
3379,16,90.8
3463,11,48.5
3446,28,163.94
3441,16,71.67
3608,11,56.55
3560,8,84.66
3384,9,95.05
3644,6,29.4
3882,2,21.6
3419,13,90.5
3735,7,62.16
3562,6,32.11
3540,4,43.8
3421,5,34.0
4005,6,73.4
3383,14,91.8
3458,16,149.8
3399,11,96.36
3506,11,64.5
3409,13,132.62
3622,4,31.5
3618,14,78.53
3454,11,120.12
3690,13,112.6
3535,5,54.0
3536,7,38.12
3711,5,33.55
3689,4,11.6
3619,9,91.0
3859,4,37.5
3657,2,22.2
3581,16,141.86
3513,9,69.1
3400,9,74.0
3393,5,43.52
3569,8,104.5
3612,10,94.44
3651,12,45.2
3469,2,5.2
3611,6,169.7
3586,14,135.8
3403,14,108.65
3914,8,97.8
3964,4,11.9
3455,6,45.2
3430,7,38.2
3516,19,113.35
3409,15,127.6
3406,6,103.8
3599,16,117.3
3583,9,81.7
3654,18,165.9
3901,5,41.82
3424,10,121.6
3539,22,240.5
3956,2,4.6
3379,13,84.5
3485,12,110.4
3444,15,86.75
3754,4,28.1
4049,2,32.8
3674,6,76.65
3379,15,161.84
3426,11,112.1
4051,2,23.8
3384,4,8.8
3503,5,64.2
3626,7,81.5
4100,3,10.3
3866,2,14.4
3729,9,52.2
3721,5,61.3
3427,17,171.9
3768,4,45.5
3790,10,59.75
3790,6,23.1
3409,10,71.35
3563,11,78.33
3708,8,27.4
3612,7,52.12
3513,13,148.4
3407,11,108.04
3387,2,28.0
3431,19,150.14
3395,7,64.66
3511,4,17.9
3608,13,116.8
3691,6,48.9
3672,11,154.3
3542,15,69.26
3679,12,72.2
3471,10,53.4
3514,21,181.52
4001,7,35.92
3401,4,27.94
3639,18,188.1
3446,6,51.2
3658,9,75.5
3433,6,16.7
3397,13,102.2
3440,14,142.24
3572,8,52.3
3716,4,7.8
3476,10,50.1
3446,13,135.0
3595,6,59.0
3423,14,203.8
3393,8,34.3
3670,4,12.4
3403,10,81.55
3684,6,60.7
3610,11,102.75
3899,2,9.8
3589,8,44.2
3514,11,61.54
3758,6,32.3
3444,8,50.8
3624,9,136.7
3667,8,71.0
3562,18,171.52
3636,16,86.8
3895,2,6.6
3648,4,24.5
3468,7,94.9
3581,5,23.52
3795,10,114.6
3656,2,11.4
3709,14,167.22
3381,16,147.35
3505,11,74.9
3387,6,63.9
3640,6,38.3
3424,13,176.3
3446,8,86.9
4009,8,117.06
3468,6,46.7
3411,13,78.0
3838,2,28.2
3409,8,32.0
3384,17,131.56
3499,7,26.2
3437,8,60.0
3392,4,12.1
3391,2,11.8
3420,8,45.7
3489,13,81.5
3794,6,64.43
3517,10,43.9
3525,9,68.4
3414,16,123.5
3565,6,34.3
3423,25,191.48
3475,8,61.74
3926,4,40.2
3437,22,223.34
3764,6,17.1
3384,13,177.76
3424,11,82.2
3602,16,137.0
3465,9,102.14
3457,10,90.9
3622,12,148.8
3645,6,53.72
3505,16,167.4
3394,10,33.7
3563,15,117.68
3909,3,35.9
3650,2,5.8
3659,8,81.2
3615,12,68.8
3465,15,136.8
3896,7,15.8
3416,15,177.66
3417,23,207.32
3539,6,63.8
3385,12,74.4
3809,12,45.5
3387,7,116.65
3420,15,135.6
3552,2,4.4
3443,14,113.8
3709,8,51.1
3557,7,28.45
3420,22,217.85
3477,10,50.9
3414,22,129.4
3652,8,137.5
3618,18,196.03
3540,17,128.95
3534,4,16.6
3855,11,45.52
3409,2,4.1
3433,18,125.28
3458,15,143.2
3428,18,144.4
3515,17,144.61
3553,14,156.6
3740,2,7.3
3423,14,147.94
3421,4,45.7
3501,7,52.5
3760,4,40.0
3558,12,59.8
3395,7,64.7
3397,22,158.74
3443,15,140.95
3395,13,76.2
3429,11,64.67
3544,8,32.9
3476,10,134.2
3429,15,115.55
3773,12,89.55
3697,9,54.7
3504,10,138.63
3470,12,92.62
3512,11,49.15
3486,15,98.35
3938,6,85.14
3501,17,223.5
3596,6,42.3
3873,2,39.3
3427,6,64.3
3498,15,221.5
4013,3,20.1
3475,12,85.5
3682,6,21.3
3718,14,124.0
3678,7,22.4
4030,4,44.9
3550,4,28.9
3458,22,244.34
3648,10,82.1
3408,11,150.4
3416,7,42.6
3410,18,148.09
3580,15,98.41
3529,20,121.6
3755,8,30.6
3537,9,60.7
3497,13,113.16
3590,6,37.05
3538,8,54.7
3820,3,21.2
3469,10,89.66
3541,11,131.63
3480,17,148.0
3559,12,84.92
3470,17,155.6
3745,8,37.9
3378,18,204.76
3413,8,47.3
3557,8,40.3
4002,3,31.54
3394,4,18.6
3465,5,63.5
3452,8,22.85
3797,6,27.8
3497,11,74.7
3397,14,140.2
3552,4,100.4
3649,9,112.4
3433,14,83.9
3614,11,70.96
3972,2,10.0
3610,7,53.3
3606,6,36.96
3378,13,174.6
3414,4,17.2
3383,20,176.2
3574,19,146.61
3405,15,106.2
3391,14,183.1
3540,4,50.4
3598,8,89.2
3525,11,73.62
3393,13,110.7
3434,13,80.0
3592,13,81.42
3497,8,98.65
3394,14,83.86
3435,23,268.8
3488,4,56.8
3391,17,100.1
3632,12,86.5
3395,6,120.3
3637,4,18.5
3417,11,84.85
3412,15,119.92
3388,8,50.5
3807,5,24.5
3712,12,152.04
3604,15,119.0
3647,3,14.5
3792,2,18.9
4054,2,11.2
3411,14,158.66
3396,10,81.3
3848,4,10.6
3698,7,49.15
3472,14,65.44
3464,12,125.24
3624,10,88.1
3497,10,68.9
3798,7,60.9
3635,11,133.9
3827,4,48.1
3645,10,83.4
3573,15,116.0
3436,16,139.05
3380,10,48.4
3615,4,69.6
3975,2,14.4
3817,2,3.4
3945,4,19.8
3920,4,83.3
3894,6,36.16
3639,13,170.5
3537,4,46.8
3852,2,6.8
3829,4,25.0
3379,16,184.44
3398,5,16.6
3395,21,228.33
3608,8,28.9
3386,13,115.3
3585,4,35.0
3774,9,85.4
3461,8,69.65
3381,6,32.3
3687,11,155.25
3479,15,96.59
3467,7,73.0
3396,11,73.5
3522,9,90.4
3680,5,72.2
3589,3,46.0
3570,17,177.2
3544,6,66.9
3453,21,213.56
3481,4,15.7
3429,11,112.8
3392,5,19.8
3695,5,124.6
3672,9,110.15
3470,20,253.55
3473,9,77.9
3570,7,34.16
3820,10,77.2
3411,12,91.74
3405,8,51.0
3418,19,158.5
3592,8,67.9
3476,8,73.96
3640,12,62.6
3760,9,53.6
3390,13,87.8
3701,12,108.48
3756,9,137.55
3458,9,70.46
3594,13,92.2
3503,8,76.95
3517,11,50.34
3527,11,109.5
3445,6,50.49
3408,13,137.15
3919,6,71.2
3385,21,132.39
3414,9,86.12
3455,10,85.1
3457,19,158.98
3403,14,123.12
3517,13,161.3
3504,9,105.55
3501,8,88.6
3386,19,136.09
3446,15,143.66
3532,10,120.1
3601,12,62.4
3506,23,227.36
3451,12,149.1
3422,8,96.5
3391,10,47.7
3552,8,33.4
3801,5,55.1
3466,10,53.73
3500,11,67.45
3396,9,119.8
3633,3,8.4
3625,12,147.68
3575,12,83.5
3471,12,82.1
3492,11,62.8
3786,2,15.3
3565,4,27.75
3496,7,25.2
3443,21,191.84
3508,8,31.3
3553,4,26.85
3388,8,38.82
3711,8,93.6
3949,4,7.65
3611,7,18.7
3428,9,70.4
3592,10,70.1
3451,18,140.4
3391,19,113.1
3594,8,33.9
3557,10,104.02
3894,6,28.2
3669,2,3.9
3397,6,76.8
3844,4,33.9
3596,6,49.5
3603,13,143.8
3426,13,102.35
3409,8,49.94
3534,8,71.25
3801,9,60.22
3402,21,209.02
3890,4,12.0
3494,5,21.0
3410,9,80.7
3411,12,72.1
3396,33,229.58
3378,10,35.2
3524,7,25.6
3968,2,65.2
3417,16,139.1
3508,4,60.86
3616,17,132.5
3400,12,89.3
3504,13,96.44
3429,13,112.9
3687,5,32.6
3456,11,87.7
3674,9,134.98
3605,6,56.1
3741,9,99.5
3509,27,222.36
3745,6,36.5
3720,6,61.3
3471,6,43.9
3406,10,80.7
3567,18,88.55
3495,13,101.4
3491,8,42.62
3416,15,64.76
3473,21,245.1
3510,11,71.4
3564,13,189.9
3428,12,70.8
3579,9,88.4
3430,9,160.12
3585,9,43.5
3462,16,239.91
3684,11,125.15
3729,3,55.4
3752,2,7.3
3472,8,58.72
3411,8,87.6
3391,12,144.7
3442,15,86.0
3543,17,214.9
4050,2,7.9
3405,12,89.9
3428,15,161.05
4052,2,3.7
3476,7,55.3
3708,18,135.34
3569,23,148.0
3577,9,63.5
3879,9,115.2
3611,13,119.9
3475,9,53.95
3695,2,25.8
3457,11,97.92
3441,13,104.1
3658,4,31.2
3896,4,35.1
3523,18,107.42
3412,11,122.4
3725,8,44.3
3585,2,9.0
3483,14,92.4
3495,6,67.36
3793,6,91.8
3703,6,35.8
3446,9,45.4
3454,4,64.4
3385,19,142.05
3570,9,116.32
3846,6,31.1
3502,7,86.6
3443,6,49.5
3512,10,76.0
3659,9,139.9
3615,5,51.2
3567,21,79.6
3425,20,150.65
3724,5,54.1
3540,13,121.64
3484,9,52.6
3390,9,57.7
3744,14,112.0
3391,14,118.6
3563,10,138.8
3900,6,32.5
3739,17,171.1
3474,19,221.47
3763,2,7.9
3699,2,5.4
4080,2,29.14
3990,2,27.24
3435,17,169.73
3576,9,49.4
3528,8,117.2
3451,23,214.05
3455,12,75.55
3544,15,170.96
3969,5,17.76
3483,21,120.05
3402,6,24.7
3610,5,63.6
3394,6,59.1
3851,9,75.0
3533,10,57.22
3542,17,136.38
3455,9,96.6
3452,9,131.8
3482,16,136.6
3480,2,17.4
3714,12,99.97
3405,11,158.1
3420,14,87.12
3758,12,89.01
3496,8,81.5
3612,7,57.5
3651,7,30.1
3557,6,75.7
3664,7,37.62
3406,18,193.5
3650,13,154.6
3434,14,87.4
3656,2,4.0
3469,4,58.3
3617,7,51.27
3554,9,57.85
3420,21,168.55
3578,14,122.92
3396,15,110.5
3554,10,75.7
3492,8,78.88
3511,5,82.35
3529,8,62.4
3662,4,20.2
3530,7,34.1
3415,30,301.33
3907,2,7.8
3466,6,33.5
3482,16,187.4
3533,16,133.0
3405,17,191.05
3645,13,132.05
3450,12,94.85
3464,4,19.5
3645,5,69.8
3454,5,32.4
3420,10,50.0
3840,3,18.44
3395,4,38.42
3750,5,13.8
3443,9,31.1
3416,13,119.49
3541,5,46.0
3637,11,56.34
3395,12,92.9
3942,10,63.45
3489,11,55.6
3507,13,52.5
3509,9,156.0
3384,16,80.2
3388,14,122.64
3773,4,34.7
3409,7,80.4
3463,19,125.4
3611,8,137.0
3572,16,74.59
3575,4,21.6
3444,8,87.7
3551,4,32.3
3702,16,180.86
3390,13,122.74
3507,16,122.04
3736,7,60.6
3662,12,90.42
3734,6,33.82
3469,31,192.63
3465,6,49.5
3486,13,102.14
3569,13,232.92
3462,10,99.2
3612,11,170.9
3797,8,60.4
3502,17,200.25
3715,8,48.74
3440,14,85.4
3658,8,63.72
3510,18,159.42
3399,9,61.5
3473,10,72.12
3432,9,37.74
3549,8,76.0
3675,13,118.1
3980,2,12.1
3771,4,19.62
3621,11,63.36
3559,8,86.2
3889,4,57.15
3419,10,101.1
3530,16,189.62
3701,5,48.89
3674,4,48.2
3793,3,52.34
3428,23,134.61
4014,2,12.3
3739,3,9.4
3465,6,31.4
3419,13,201.7
3578,10,119.0
3576,15,147.02
3651,2,2.1
3403,15,200.0
3439,9,62.16
3609,9,66.3
3701,7,126.5
3415,6,35.4
3754,16,154.44
3607,24,248.11
3434,6,21.6
3464,14,162.5
3448,22,210.1
3384,10,61.9
3479,14,119.65
3482,13,131.85
4037,5,32.7
3743,8,45.15
3590,11,45.52
3415,16,119.99
3426,5,16.4
3678,5,51.8
3801,2,17.2
3378,15,171.03
3583,14,95.0
3497,16,205.9
3572,6,35.7
3684,4,55.8
3479,13,99.88
3636,6,42.4
3538,4,62.3
3483,4,51.0
3483,10,44.7
3383,4,13.7
3470,15,82.79
3490,11,191.1
3708,6,63.4
3446,15,69.6
3420,12,69.6
3511,11,61.05
3816,6,48.1
3971,2,3.7
3923,2,20.16
3788,4,31.75
3693,3,13.9
3771,2,15.7
3565,4,13.0
3499,6,93.4
3457,10,106.9
3394,17,110.8
3422,13,75.2
3570,7,38.1
3496,14,151.55
3385,9,69.04
3612,10,76.8
3974,4,24.5
3390,12,132.81
3385,11,87.2
3603,9,92.62
3547,11,57.6
3379,6,19.4
3867,2,11.0
3606,13,97.0
3665,9,70.38
3423,8,38.66
3656,17,108.04
3631,6,60.4
3434,8,47.3
3421,17,152.1
3502,17,119.9
3641,5,39.4
3803,6,41.8
3530,8,86.0
3721,2,3.4
3453,14,142.9
3434,12,73.82
3562,4,25.8
3553,10,156.5
3807,1,1.6
3386,20,145.05
3451,7,23.0
3520,4,16.6
3585,6,33.7
3425,6,44.7
3527,12,57.4
3596,12,94.35
3379,10,76.9
3432,14,91.6
3381,12,88.2
3649,11,87.3
3453,10,70.3
3391,16,102.35
3721,2,12.6
3407,10,148.4
3386,11,149.9
3744,9,42.42
3677,4,32.44
3614,8,42.65
3529,12,174.9
3555,9,93.5
3714,6,37.1
3631,5,24.82
3661,6,59.5
3616,5,91.2
4023,3,47.4
3449,16,134.45
3378,7,78.99
3615,9,92.7
3397,7,101.9
3613,6,66.8
3776,2,4.6
3426,9,37.8
3482,6,83.9
3554,13,58.04
3771,8,75.9
3453,6,80.4
3397,12,97.3
3619,11,45.7
3534,6,43.1
3454,9,115.26
3516,2,9.4
3436,13,120.75
3489,9,70.2
3737,8,66.0
3600,12,84.6
3526,14,110.7
3424,16,253.12
3479,6,37.0
3558,8,54.9
3449,6,31.44
3621,11,135.7
3880,2,40.9
3435,11,89.8
3470,9,49.1
3788,13,176.95
3504,5,35.3
3476,10,69.23
3465,6,56.65
3685,6,44.12
3380,14,118.95
3469,10,137.5
3856,4,22.3
3653,10,48.1
3379,6,128.9
3562,10,173.0
3410,14,77.8
3705,11,90.1
3715,5,8.5
3630,8,65.35
3622,8,98.3
3435,19,289.4
3535,9,68.5
3408,16,132.35
3405,10,96.5
3505,13,89.8
3423,12,126.65
3472,14,135.35
3465,13,87.95
3410,16,124.95
3625,18,170.0
3517,12,86.2
3523,10,72.1
3600,11,52.22
3621,8,60.0
3398,15,124.64
3384,2,19.4
3613,9,91.8
3397,11,108.6
3437,15,76.52
3446,9,70.25
3394,4,24.0
3490,17,130.05
3577,11,57.6
3797,7,82.4
3426,11,89.35
3431,17,129.64
3432,16,180.2
3654,11,136.8
3771,9,56.16
3534,13,79.8
3410,14,104.95
3976,4,19.4
3519,6,28.6
3382,26,254.04
3459,12,133.39
3412,6,36.9
4056,6,50.2
3426,3,25.1
3421,2,4.9
4041,4,24.7
3432,8,78.8
3641,6,31.84
3702,15,85.9
3483,12,119.1
3643,12,83.05
3663,9,52.8
3504,12,113.7
3436,1,3.6
3573,16,115.0
3534,22,163.0
3559,8,80.0
3475,17,157.5
3527,13,131.64
3738,6,61.7
3382,4,16.85
3380,6,66.2
3518,13,126.92
3475,5,57.6
3386,14,114.0
3592,15,130.5
3839,10,127.05
3512,20,163.15
3432,14,58.26
3493,6,38.75
3770,4,39.7
3414,15,128.2
3550,15,119.65
3588,8,47.9
3461,9,50.15
3611,4,56.2
3816,4,37.5
3713,7,101.8
3617,7,37.66
3576,10,70.3
3425,20,113.15
3662,9,121.1
3427,13,92.11
3857,3,20.0
